Founders Demo Co,,,,,,,,
General Ledger,,,,,,,,
January 1, 2024 - December 31, 2026,,,,,,,,
,,,,,,,,
,Date,Transaction Type,Num,Name,Memo/Description,Split,Amount,Balance
1000 Checking,,,,,,,,
,01/01/2024,Check,1008,Landlord,Office rent,6100 Rent Expense,-2600.00,-2600.00
,01/02/2024,Deposit,1001,Owner,Opening capital,3000 Owners Equity,60000.00,57400.00
,01/15/2024,Check,1007,Staff,Payroll run,6000 Payroll Expense,-8000.00,49400.00
,01/18/2024,Check,1012,Bank,Loan interest,8000 Interest Expense,-210.00,49190.00
,01/20/2024,Payment,1004,Customer,Customer payments,1200 Accounts Receivable,17220.00,66410.00
,01/24/2024,Bill Payment,1006,Supplier,Pay vendor,2000 Accounts Payable,-5040.00,61370.00
,01/28/2024,Credit Card Payment,1010,Card,Pay card,2100 Credit Card,-1170.00,60200.00
,01/30/2024,Deposit,1011,Bank,Interest earned,7000 Interest Income,45.00,60245.00
,02/01/2024,Check,1019,Landlord,Office rent,6100 Rent Expense,-2600.00,57645.00
,02/15/2024,Check,1018,Staff,Payroll run,6000 Payroll Expense,-8000.00,49645.00
,02/18/2024,Check,1023,Bank,Loan interest,8000 Interest Expense,-210.00,49435.00
,02/20/2024,Payment,1015,Customer,Customer payments,1200 Accounts Receivable,17651.00,67086.00
,02/24/2024,Bill Payment,1017,Supplier,Pay vendor,2000 Accounts Payable,-5166.00,61920.00
,02/28/2024,Credit Card Payment,1021,Card,Pay card,2100 Credit Card,-1205.00,60715.00
,02/30/2024,Deposit,1022,Bank,Interest earned,7000 Interest Income,45.00,60760.00
,03/01/2024,Check,1030,Landlord,Office rent,6100 Rent Expense,-2600.00,58160.00
,03/10/2024,Check,1398,Vendor,Equipment purchase,1500 Equipment,-9000.00,49160.00
,03/15/2024,Check,1029,Staff,Payroll run,6000 Payroll Expense,-8000.00,41160.00
,03/18/2024,Check,1034,Bank,Loan interest,8000 Interest Expense,-210.00,40950.00
,03/20/2024,Payment,1026,Customer,Customer payments,1200 Accounts Receivable,18092.00,59042.00
,03/24/2024,Bill Payment,1028,Supplier,Pay vendor,2000 Accounts Payable,-5295.00,53747.00
,03/28/2024,Credit Card Payment,1032,Card,Pay card,2100 Credit Card,-1241.00,52506.00
,03/30/2024,Deposit,1033,Bank,Interest earned,7000 Interest Income,45.00,52551.00
,04/01/2024,Check,1041,Landlord,Office rent,6100 Rent Expense,-2600.00,49951.00
,04/15/2024,Check,1040,Staff,Payroll run,6000 Payroll Expense,-8000.00,41951.00
,04/18/2024,Check,1045,Bank,Loan interest,8000 Interest Expense,-210.00,41741.00
,04/20/2024,Payment,1037,Customer,Customer payments,1200 Accounts Receivable,18543.00,60284.00
,04/24/2024,Bill Payment,1039,Supplier,Pay vendor,2000 Accounts Payable,-5427.00,54857.00
,04/28/2024,Credit Card Payment,1043,Card,Pay card,2100 Credit Card,-1279.00,53578.00
,04/30/2024,Deposit,1044,Bank,Interest earned,7000 Interest Income,45.00,53623.00
,05/01/2024,Check,1052,Landlord,Office rent,6100 Rent Expense,-2600.00,51023.00
,05/15/2024,Check,1051,Staff,Payroll run,6000 Payroll Expense,-8000.00,43023.00
,05/18/2024,Check,1056,Bank,Loan interest,8000 Interest Expense,-210.00,42813.00
,05/20/2024,Payment,1048,Customer,Customer payments,1200 Accounts Receivable,19008.00,61821.00
,05/24/2024,Bill Payment,1050,Supplier,Pay vendor,2000 Accounts Payable,-5563.00,56258.00
,05/28/2024,Credit Card Payment,1054,Card,Pay card,2100 Credit Card,-1317.00,54941.00
,05/30/2024,Deposit,1055,Bank,Interest earned,7000 Interest Income,45.00,54986.00
,06/01/2024,Check,1063,Landlord,Office rent,6100 Rent Expense,-2600.00,52386.00
,06/15/2024,Check,1062,Staff,Payroll run,6000 Payroll Expense,-8000.00,44386.00
,06/18/2024,Check,1067,Bank,Loan interest,8000 Interest Expense,-210.00,44176.00
,06/20/2024,Payment,1059,Customer,Customer payments,1200 Accounts Receivable,19482.00,63658.00
,06/24/2024,Bill Payment,1061,Supplier,Pay vendor,2000 Accounts Payable,-5702.00,57956.00
,06/28/2024,Credit Card Payment,1065,Card,Pay card,2100 Credit Card,-1356.00,56600.00
,06/30/2024,Deposit,1066,Bank,Interest earned,7000 Interest Income,45.00,56645.00
,07/01/2024,Check,1074,Landlord,Office rent,6100 Rent Expense,-2600.00,54045.00
,07/15/2024,Check,1073,Staff,Payroll run,6000 Payroll Expense,-8000.00,46045.00
,07/18/2024,Check,1078,Bank,Loan interest,8000 Interest Expense,-210.00,45835.00
,07/20/2024,Payment,1070,Customer,Customer payments,1200 Accounts Receivable,19969.00,65804.00
,07/24/2024,Bill Payment,1072,Supplier,Pay vendor,2000 Accounts Payable,-5845.00,59959.00
,07/28/2024,Credit Card Payment,1076,Card,Pay card,2100 Credit Card,-1397.00,58562.00
